Baseline 100%T_S,,Baseline 100%T_P,,312_R6G-PdTPP_simple P 6.00 12.00,,312_R6G-PdTPP_simple P 10.00 20.00,,312_R6G-PdTPP_simple P 14.00 28.00,,312_R6G-PdTPP_simple P 18.00 36.00,,312_R6G-PdTPP_simple P 22.00 44.00,,312_R6G-PdTPP_simple P 26.00 52.00,,312_R6G-PdTPP_simple P 30.00 60.00,,312_R6G-PdTPP_simple P 34.00 68.00,,312_R6G-PdTPP_simple P 38.00 76.00,,312_R6G-PdTPP_simple P 42.00 84.00,,312_R6G-PdTPP_simple P 46.00 92.00,,312_R6G-PdTPP_simple P 50.00 100.00,,312_R6G-PdTPP_simple P 54.00 108.00,,312_R6G-PdTPP_simple P 58.00 116.00,,312_R6G-PdTPP_simple P 62.00 124.00,,312_R6G-PdTPP_simple P 66.00 132.00,,312_R6G-PdTPP_simple P 70.00 140.00,,312_R6G-PdTPP_simple P 74.00 148.00,,312_R6G-PdTPP_simple P 78.00 156.00,,312_R6G-PdTPP_simple P 82.00 164.00,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,
770,32.94774246,770,124.373291,770,93.04416656,770,93.09470367,770,93.19328308,770,93.28240967,770,93.37936401,770,93.44993591,770,93.5877533,770,93.60439301,770,93.6259079,770,93.56921387,770,93.50609589,770,93.36949921,770,93.16363525,770,92.94509888,770,92.63611603,770,92.29077911,770,91.91811371,770,91.58559418,770,91.41741943,770,87.58792877,
769,32.8429451,769,124.4213943,769,92.96242523,769,93.05690765,769,93.14292908,769,93.26187134,769,93.38056183,769,93.4484787,769,93.54103851,769,93.62260437,769,93.59394073,769,93.56227875,769,93.48258209,769,93.36797333,769,93.15723419,769,92.89477539,769,92.61846161,769,92.26911163,769,91.88387299,769,91.58016205,769,91.378479,769,87.58116913,
768,32.77427673,768,124.4945984,768,92.92204285,768,93.00212097,768,93.0811615,768,93.22351074,768,93.31209564,768,93.43786621,768,93.50676727,768,93.55082703,768,93.57731628,768,93.53845215,768,93.46211243,768,93.36343384,768,93.164505,768,92.91168213,768,92.60871887,768,92.27422333,768,91.88700104,768,91.59614563,768,91.41951752,768,87.60788727,
767,32.68896866,767,124.5972137,767,92.80435181,767,92.91716003,767,93.01027679,767,93.11997986,767,93.24094391,767,93.33726501,767,93.42989349,767,93.50428009,767,93.53276825,767,93.48974609,767,93.41914368,767,93.2895813,767,93.10559082,767,92.85450745,767,92.53982544,767,92.24337006,767,91.81211853,767,91.51293182,767,91.38347626,767,87.55232239,
766,32.59925079,766,124.715126,766,92.7027359,766,92.80628967,766,92.92507172,766,93.02496338,766,93.16955566,766,93.29467773,766,93.36358643,766,93.42624664,766,93.4442749,766,93.43545532,766,93.36616516,766,93.2458725,766,93.06497192,766,92.83320618,766,92.49183655,766,92.19338989,766,91.80025482,766,91.49235535,766,91.36515045,766,87.5266571,
765,32.53034592,765,124.7737885,765,92.6360321,765,92.752388,765,92.85089874,765,92.99095917,765,93.14468384,765,93.22216797,765,93.33864594,765,93.41894531,765,93.4520874,765,93.38600922,765,93.3562851,765,93.23173523,765,93.04846191,765,92.79344177,765,92.5238266,765,92.16757202,765,91.81304932,765,91.50191498,765,91.32593536,765,87.57324982,
764,32.45013046,764,124.8622208,764,92.57454681,764,92.66571808,764,92.7700119,764,92.93179321,764,93.06352234,764,93.20350647,764,93.31494904,764,93.37683105,764,93.38911438,764,93.39863586,764,93.31188202,764,93.18165588,764,93.0287323,764,92.77404785,764,92.49868774,764,92.17471313,764,91.78232574,764,91.49977112,764,91.33060455,764,87.50932312,
763,32.37537766,763,124.9732742,763,92.44319916,763,92.58299255,763,92.66494751,763,92.82375336,763,92.95440674,763,93.11444092,763,93.20955658,763,93.29769135,763,93.35746765,763,93.34637451,763,93.26508331,763,93.14396667,763,92.95228577,763,92.71933746,763,92.45439148,763,92.10112762,763,91.75762177,763,91.43587494,763,91.31019592,763,87.50366211,
762,32.27183914,762,125.0609512,762,92.35571289,762,92.47517395,762,92.6053009,762,92.78077698,762,92.92754364,762,93.05020905,762,93.16889954,762,93.26861572,762,93.30809784,762,93.28491974,762,93.23519135,762,93.10942078,762,92.9613266,762,92.70359039,762,92.43862152,762,92.08678436,762,91.70608521,762,91.42848206,762,91.29180908,762,87.48323059,
761,32.18223572,761,125.1337662,761,92.28392029,761,92.44203186,761,92.55521393,761,92.69811249,761,92.86910248,761,93.03572083,761,93.15750122,761,93.23882294,761,93.30775452,761,93.28219604,761,93.21187592,761,93.10042572,761,92.92411804,761,92.69322205,761,92.4108429,761,92.10345459,761,91.72809601,761,91.43755341,761,91.26912689,761,87.47236633,
760,32.09372711,760,125.2558441,760,92.15520477,760,92.26024628,760,92.42215729,760,92.598526,760,92.77267456,760,92.94846344,760,93.07022095,760,93.15776062,760,93.21073914,760,93.20023346,760,93.15685272,760,93.06077576,760,92.88544464,760,92.65132904,760,92.35259247,760,92.05223083,760,91.68598938,760,91.37766266,760,91.2620697,760,87.44687653,
759,32.02179718,759,125.3177185,759,92.05614471,759,92.2207489,759,92.36663818,759,92.58072662,759,92.75466919,759,92.87653351,759,93.06453705,759,93.14257813,759,93.1986084,759,93.1993103,759,93.14910889,759,93.05007172,759,92.87232971,759,92.63040161,759,92.35593414,759,92.03321075,759,91.66214752,759,91.38935852,759,91.24699402,759,87.48031616,
758,31.93057251,758,125.4641876,758,91.9169693,758,92.06168365,758,92.24582672,758,92.42786407,758,92.61192322,758,92.81295776,758,92.94374847,758,93.06472778,758,93.13297272,758,93.14032745,758,93.12664032,758,92.97377014,758,92.8131485,758,92.58094788,758,92.31892395,758,91.98012543,758,91.62445831,758,91.31861877,758,91.2036438,758,87.4363327,
757,31.83137512,757,125.5688095,757,91.79116821,757,91.96564484,757,92.09176636,757,92.34320831,757,92.55786896,757,92.72652435,757,92.88369751,757,92.9859848,757,93.09333801,757,93.10198975,757,93.06830597,757,92.92260742,757,92.76332855,757,92.5532608,757,92.25862122,757,91.94947815,757,91.56568909,757,91.30478668,757,91.1794281,757,87.41108704,
756,31.74760056,756,125.6721954,756,91.6737442,756,91.84315491,756,92.03362274,756,92.26051331,756,92.4618988,756,92.66080475,756,92.8353653,756,92.95792389,756,93.03865051,756,93.03478241,756,93.01602173,756,92.8999176,756,92.73796844,756,92.53012085,756,92.25629425,756,91.94315338,756,91.55510712,756,91.27791595,756,91.16033936,756,87.38361359,
755,31.65279579,755,125.767746,755,91.53051758,755,91.70928955,755,91.92443085,755,92.15689087,755,92.393013,755,92.59757233,755,92.77290344,755,92.89925385,755,92.97658539,755,93.01794434,755,92.97603607,755,92.87480164,755,92.69153595,755,92.49261475,755,92.21362305,755,91.90957642,755,91.54013824,755,91.25912476,755,91.15103149,755,87.39118958,
754,31.54102516,754,125.852417,754,91.39755249,754,91.61138153,754,91.84125519,754,92.07265472,754,92.34500122,754,92.53394318,754,92.73534393,754,92.87593842,754,92.95735931,754,92.99502563,754,92.95915222,754,92.85173798,754,92.66625977,754,92.47312164,754,92.19980621,754,91.89664459,754,91.55027008,754,91.26820374,754,91.14064026,754,87.37663269,
753,31.48178101,753,125.9808884,753,91.23735046,753,91.4421463,753,91.70166016,753,91.95448303,753,92.2229538,753,92.4756012,753,92.64273834,753,92.7902298,753,92.92074585,753,92.92230225,753,92.88619995,753,92.79481506,753,92.67132568,753,92.41625214,753,92.16007233,753,91.86293793,753,91.4983139,753,91.21032715,753,91.11831665,753,87.35627747,
752,31.38346291,752,126.1013489,752,91.08152008,752,91.28261566,752,91.53874207,752,91.85432434,752,92.13195801,752,92.35671997,752,92.58598328,752,92.72119904,752,92.83383942,752,92.88241577,752,92.834198,752,92.748703,752,92.58906555,752,92.38293457,752,92.10910797,752,91.8105545,752,91.44532776,752,91.17826843,752,91.10868073,752,87.3454895,
751,31.2882576,751,126.1989212,751,90.92694855,751,91.14698029,751,91.416008,751,91.73693085,751,92.01862335,751,92.316185,751,92.53222656,751,92.67479706,751,92.77371216,751,92.84901428,751,92.8063736,751,92.70555878,751,92.57524109,751,92.36347961,751,92.12285614,751,91.80021667,751,91.44195557,751,91.18513489,751,91.08269501,751,87.33494568,
750,31.19533348,750,126.3046265,750,90.78941345,750,90.99105835,750,91.28423309,750,91.62323761,750,91.95543671,750,92.23387909,750,92.46257782,750,92.62767792,750,92.74481964,750,92.79762268,750,92.76641846,750,92.68817902,750,92.55492401,750,92.32507324,750,92.06603241,750,91.76675415,750,91.42834473,750,91.14618683,750,91.09262848,750,87.32802582,
749,31.09392738,749,126.4628525,749,90.58216095,749,90.83168793,749,91.09910583,749,91.47406006,749,91.80063629,749,92.10272217,749,92.34649658,749,92.54122162,749,92.64806366,749,92.72265625,749,92.71315002,749,92.61576843,749,92.46868896,749,92.26361084,749,92.00522614,749,91.70793915,749,91.37586212,749,91.10926819,749,91.02880096,749,87.27083588,
748,30.99242401,748,126.5599976,748,90.38930511,748,90.67887878,748,90.95689392,748,91.33567047,748,91.71329498,748,92.00865936,748,92.27600861,748,92.46139526,748,92.60928345,748,92.66430664,748,92.6641922,748,92.59598541,748,92.43920135,748,92.2440567,748,91.99227905,748,91.69947052,748,91.34590912,748,91.11220551,748,91.01716614,748,87.27596283,
747,30.90902328,747,126.700676,747,90.19589233,747,90.49094391,747,90.80182648,747,91.18201447,747,91.58218384,747,91.91944885,747,92.19577026,747,92.37699127,747,92.54883575,747,92.61694336,747,92.61037445,747,92.53858948,747,92.39603424,747,92.20157623,747,91.95219421,747,91.65963745,747,91.31342316,747,91.03238678,747,90.99249268,747,87.25045013,
746,30.78129578,746,126.7829056,746,90.00868988,746,90.32366943,746,90.65937042,746,91.08514404,746,91.478302,746,91.81951141,746,92.14008331,746,92.35312653,746,92.51893616,746,92.59740448,746,92.57637787,746,92.51655579,746,92.3931427,746,92.20353699,746,91.93916321,746,91.66080475,746,91.30258942,746,91.0774231,746,90.98606873,746,87.25596619,
745,30.69478607,745,126.9226074,745,89.80060577,745,90.10910797,745,90.4868927,745,90.93087006,745,91.33612823,745,91.73995972,745,92.03552246,745,92.27633667,745,92.4285202,745,92.51805878,745,92.54161835,745,92.45146179,745,92.3405304,745,92.14356232,745,91.90028381,745,91.59870911,745,91.27776337,745,91.01805878,745,90.97246552,745,87.21573639,
744,30.61236763,744,127.0538788,744,89.56934357,744,89.86776733,744,90.2824173,744,90.74010468,744,91.17799377,744,91.60877228,744,91.94350433,744,92.19210815,744,92.35825348,744,92.46841431,744,92.48584747,744,92.42723083,744,92.29292297,744,92.09489441,744,91.84643555,744,91.56399536,744,91.23004913,744,90.99617767,744,90.92559052,744,87.19087982,
743,30.50440598,743,127.177597,743,89.31761932,743,89.68066406,743,90.08893585,743,90.58107758,743,91.06080627,743,91.50064087,743,91.85095215,743,92.1296463,743,92.29467773,743,92.41937256,743,92.44406891,743,92.38121796,743,92.25672913,743,92.05734253,743,91.81128693,743,91.51873779,743,91.2206955,743,90.96203613,743,90.92111969,743,87.18249512,
742,30.39235687,742,127.3070602,742,89.08205414,742,89.43724823,742,89.89874268,742,90.41313171,742,90.92067719,742,91.37355804,742,91.76802063,742,92.02779388,742,92.22034454,742,92.34846497,742,92.37742615,742,92.32450104,742,92.20589447,742,92.02021027,742,91.7876358,742,91.49729156,742,91.16855621,742,90.94103241,742,90.89505768,742,87.15766907,
741,30.26628876,741,127.4507065,741,88.80395508,741,89.19029999,741,89.6720047,741,90.20899963,741,90.75056458,741,91.2358017,741,91.67118835,741,91.9475708,741,92.15145111,741,92.2917099,741,92.31996918,741,92.28535461,741,92.17267609,741,91.96242523,741,91.76146698,741,91.4705658,741,91.13621521,741,90.9005127,741,90.85585785,741,87.1288147,
740,30.17320061,740,127.5736694,740,88.53126526,740,88.9302063,740,89.43258667,740,90.0461731,740,90.58291626,740,91.12498474,740,91.54045105,740,91.86157227,740,92.08413696,740,92.23816681,740,92.27888489,740,92.22762299,740,92.11608124,740,91.92724609,740,91.70489502,740,91.41885376,740,91.10315704,740,90.86621094,740,90.82662201,740,87.11216736,
739,30.04338837,739,127.7164612,739,88.24511719,739,88.64736176,739,89.21813965,739,89.84440613,739,90.44264984,739,90.97625732,739,91.42108154,739,91.77696991,739,92.00028992,739,92.16336823,739,92.19633484,739,92.17353821,739,92.0670166,739,91.8740921,739,91.64865112,739,91.37143707,739,91.07844543,739,90.83681488,739,90.80158234,739,87.10858154,
738,29.93972969,738,127.848175,738,87.94394684,738,88.38687897,738,88.95814514,738,89.59759521,738,90.27632141,738,90.84786224,738,91.31973267,738,91.68075562,738,91.92862701,738,92.07321167,738,92.17826843,738,92.1187439,738,92.02267456,738,91.86319733,738,91.62451935,738,91.35473633,738,91.0378418,738,90.83061218,738,90.79618835,738,87.069664,
737,29.82378578,737,127.9829865,737,87.63495636,737,88.1028595,737,88.69200897,737,89.40280914,737,90.08718872,737,90.68825531,737,91.2171402,737,91.59914398,737,91.86035919,737,92.02774048,737,92.10941315,737,92.07195282,737,91.97715759,737,91.81204224,737,91.59841156,737,91.32868195,737,91.01251221,737,90.79876709,737,90.76220703,737,87.05383301,
736,29.72842216,736,128.1355438,736,87.3010788,736,87.78300476,736,88.41400909,736,89.17662811,736,89.88935089,736,90.52797699,736,91.06288147,736,91.49230957,736,91.78026581,736,91.92740631,736,92.03422546,736,91.99737549,736,91.9149704,736,91.76062012,736,91.5309906,736,91.28898621,736,90.97442627,736,90.75949097,736,90.72080994,736,87.01460266,
735,29.59371758,735,128.2582245,735,86.98771667,735,87.48480225,735,88.14631653,735,88.94638062,735,89.71802521,735,90.38890076,735,90.95821381,735,91.39457703,735,91.70796967,735,91.90008545,735,91.9957962,735,92.00122833,735,91.90752411,735,91.71898651,735,91.52223969,735,91.26026917,735,90.97200775,735,90.74003601,735,90.73787689,735,87.02658081,
734,29.47267532,734,128.4241486,734,86.63156891,734,87.14365387,734,87.85057068,734,88.66556549,734,89.48239899,734,90.19930267,734,90.80714417,734,91.28043365,734,91.60662842,734,91.79730225,734,91.91539001,734,91.90615845,734,91.826828,734,91.66709137,734,91.46871948,734,91.19718933,734,90.92376709,734,90.69721985,734,90.69830322,734,86.98118591,
733,29.3529892,733,128.5721588,733,86.27794647,733,86.79779816,733,87.52899933,733,88.39577484,733,89.26420593,733,90.01379395,733,90.67080688,733,91.17633057,733,91.51364899,733,91.71926117,733,91.85671234,733,91.85940552,733,91.77005005,733,91.63137054,733,91.4355011,733,91.17605591,733,90.89414215,733,90.6673584,733,90.65766907,733,86.96400452,
732,29.24387741,732,128.7308044,732,85.9105835,732,86.44920349,732,87.20053101,732,88.10913849,732,89.01091003,732,89.83444214,732,90.50237274,732,91.03650665,732,91.42490387,732,91.65476227,732,91.78065491,732,91.79626465,732,91.73303986,732,91.57634735,732,91.37404633,732,91.11600494,732,90.8445816,732,90.63989258,732,90.62329865,732,86.94187927,
731,29.11275673,731,128.8693237,731,85.57359314,731,86.10696411,731,86.85551453,731,87.82701111,731,88.79598999,731,89.64541626,731,90.37199402,731,90.94498444,731,91.32028198,731,91.57322693,731,91.71976471,731,91.73604584,731,91.66913605,731,91.52527618,731,91.3546524,731,91.09178162,731,90.80632019,731,90.61273956,731,90.60003662,731,86.92935181,
730,28.97016335,730,129.016861,730,85.18907166,730,85.75639343,730,86.53922272,730,87.52346039,730,88.53992462,730,89.45204926,730,90.21624756,730,90.81157684,730,91.23416138,730,91.50526428,730,91.64763641,730,91.69782257,730,91.6341629,730,91.48719025,730,91.29969025,730,91.06454468,730,90.77246857,730,90.58670044,730,90.59526062,730,86.91365051,
729,28.85499954,729,129.1504669,729,84.83776093,729,85.40596008,729,86.17989349,729,87.21764374,729,88.28443146,729,89.25202942,729,90.0672226,729,90.70220947,729,91.14782715,729,91.43201447,729,91.60228729,729,91.65645599,729,91.59873199,729,91.43637085,729,91.2697525,729,91.03116608,729,90.75764465,729,90.56237793,729,90.585289,729,86.89080811,
728,28.73371315,728,129.3250122,728,84.4447403,728,85.01503754,728,85.82455444,728,86.86690521,728,87.99144745,728,89.01932526,728,89.87638092,728,90.54626465,728,91.02844238,728,91.33411407,728,91.50743866,728,91.57170105,728,91.51186371,728,91.36995697,728,91.21536255,728,90.98675537,728,90.70463562,728,90.52085114,728,90.53475189,728,86.84902954,
727,28.5870018,727,129.4917908,727,84.01275635,727,84.61452484,727,85.44735718,727,86.5171814,727,87.69611359,727,88.78009033,727,89.6999588,727,90.40396118,727,90.90950775,727,91.24294281,727,91.4475174,727,91.50131226,727,91.45527649,727,91.31069183,727,91.15198517,727,90.92980957,727,90.66091919,727,90.46798706,727,90.49077606,727,86.84225464,
726,28.452528,726,129.6373291,726,83.64011383,726,84.24389648,726,85.08860016,726,86.194664,726,87.39997101,726,88.54644775,726,89.51226807,726,90.25727081,726,90.80599213,726,91.14607239,726,91.36829376,726,91.45384979,726,91.39758301,726,91.28140259,726,91.12882233,726,90.91387177,726,90.64813995,726,90.46429443,726,90.5019455,726,86.81845093,
725,28.30860519,725,129.8287201,725,83.20552063,725,83.80796051,725,84.68421173,725,85.80601501,725,87.06446075,725,88.27745819,725,89.28115082,725,90.07594299,725,90.66363525,725,91.04786682,725,91.26742554,725,91.35387421,725,91.33931732,725,91.21934509,725,91.04891968,725,90.8345871,725,90.58338928,725,90.40540314,725,90.44391632,725,86.77451324,
724,28.18104935,724,129.9886322,724,82.8035965,724,83.41012573,724,84.28817749,724,85.43561554,724,86.74134064,724,88.00064087,724,89.08586121,724,89.93064117,724,90.54200745,724,90.96175385,724,91.18677521,724,91.28294373,724,91.26054382,724,91.15336609,724,91.0200119,724,90.80569458,724,90.56002808,724,90.37565613,724,90.41738892,724,86.7473526,
723,28.03531265,723,130.142395,723,82.37338257,723,82.9910965,723,83.88873291,723,85.06739044,723,86.40538025,723,87.73222351,723,88.86907959,723,89.74879456,723,90.40016174,723,90.86045837,723,91.09912109,723,91.23386383,723,91.21296692,723,91.12349701,723,90.97584534,723,90.76177216,723,90.51733398,723,90.35591125,723,90.39060211,723,86.72200775,
722,27.90773201,722,130.3130951,722,81.92464447,722,82.55751801,722,83.47206116,722,84.68630219,722,86.03508759,722,87.43580627,722,88.64073181,722,89.57119751,722,90.27351379,722,90.74195862,722,91.01937103,722,91.14299774,722,91.16486359,722,91.0786438,722,90.9213562,722,90.71016693,722,90.48447418,722,90.31503296,722,90.37223816,722,86.7286911,
721,27.74196053,721,130.4836273,721,81.48384857,721,82.13425446,721,83.0689621,721,84.27613831,721,85.67179108,721,87.12743378,721,88.39255524,721,89.39191437,721,90.12310791,721,90.64970398,721,90.92822266,721,91.08869171,721,91.10036469,721,91.0083847,721,90.87073517,721,90.67940521,721,90.44008636,721,90.30321503,721,90.32511139,721,86.68759155,
720,27.60063171,720,130.6549835,720,81.0243988,720,81.67546082,720,82.61998749,720,83.8806076,720,85.30406952,720,86.80348206,720,88.14429474,720,89.19906616,720,90.00008392,720,90.50930786,720,90.8429184,720,91.00054169,720,91.02888489,720,90.96333313,720,90.8301239,720,90.63182831,720,90.40991211,720,90.25591278,720,90.31495667,720,86.65385437,
719,27.45611,719,130.8380432,719,80.51832581,719,81.21315002,719,82.16792297,719,83.45374298,719,84.8952179,719,86.46015167,719,87.87049103,719,88.99447632,719,89.83535004,719,90.38484955,719,90.73813629,719,90.92027283,719,90.98297882,719,90.8927536,719,90.77322388,719,90.57424927,719,90.34896851,719,90.23036957,719,90.25243378,719,86.62589264,
718,27.3044014,718,131.0238953,718,80.03866577,718,80.72265625,718,81.71156311,718,83.0014267,718,84.51199341,718,86.1013031,718,87.59915161,718,88.77061462,718,89.65751648,718,90.25629425,718,90.64141083,718,90.84397888,718,90.87873077,718,90.8347702,718,90.69361877,718,90.52478027,718,90.30957031,718,90.18070221,718,90.24264526,718,86.61850739,
717,27.16254807,717,131.1886902,717,79.54469299,717,80.23726654,717,81.27037048,717,82.56788635,717,84.11228943,717,85.75629425,717,87.31224823,717,88.55461121,717,89.50243378,717,90.13500977,717,90.55712891,717,90.75602722,717,90.83402252,717,90.7758255,717,90.65223694,717,90.48567963,717,90.28575134,717,90.14982605,717,90.2096405,717,86.59227753,
716,26.99492264,716,131.3686981,716,79.03686523,716,79.74851227,716,80.78430939,716,82.12683105,716,83.69297028,716,85.38249969,716,87.00423431,716,88.33313751,716,89.30929565,716,90.02163696,716,90.43844604,716,90.67416382,716,90.75218201,716,90.70092773,716,90.60877991,716,90.44035339,716,90.23421478,716,90.1077652,716,90.1926651,716,86.5599823,
715,26.83559608,715,131.5756836,715,78.48602295,715,79.22628021,715,80.28620148,715,81.65805054,715,83.25403595,715,84.97810364,715,86.67110443,715,88.08083344,715,89.11883545,715,89.85713959,715,90.31164551,715,90.58097839,715,90.66358948,715,90.6340332,715,90.53553009,715,90.36857605,715,90.17948914,715,90.06803894,715,90.12778473,715,86.50434875,
714,26.67481995,714,131.7629395,714,77.93294525,714,78.69232941,714,79.77165222,714,81.18997955,714,82.80590057,714,84.57506561,714,86.33291626,714,87.80800629,714,88.92858887,714,89.70201874,714,90.19776917,714,90.47516632,714,90.57994843,714,90.54905701,714,90.46294403,714,90.31212616,714,90.11951447,714,90.02576447,714,90.09658813,714,86.48274231,
713,26.51086807,713,131.9269104,713,77.39845276,713,78.18125153,713,79.28570557,713,80.71762085,713,82.35919189,713,84.17745972,713,86.00323486,713,87.54682922,713,88.7322464,713,89.55792236,713,90.10703278,713,90.40245056,713,90.51425171,713,90.51345825,713,90.40820313,713,90.28816223,713,90.11198425,713,90.00676727,713,90.078125,713,86.47077179,
712,26.33221436,712,132.1460419,712,76.82743835,712,77.62550354,712,78.74806213,712,80.20284271,712,81.89435577,712,83.73506165,712,85.61871338,712,87.24629974,712,88.50238037,712,89.37171936,712,89.95874786,712,90.27351379,712,90.42276001,712,90.43777466,712,90.35245514,712,90.21566772,712,90.04308319,712,89.9425354,712,90.01096344,712,86.41209412,
711,26.16809654,711,132.3370972,711,76.23910522,711,77.05377197,711,78.20043945,711,79.70038605,711,81.41458893,711,83.30567169,711,85.21620941,711,86.96818542,711,88.27426147,711,89.22049713,711,89.82067108,711,90.17851257,711,90.34527588,711,90.37177277,711,90.29449463,711,90.16357422,711,89.98458099,711,89.89368439,711,89.99858093,711,86.37693024,
710,26.00668335,710,132.5252991,710,75.65363312,710,76.48213196,710,77.68058014,710,79.17697144,710,80.93120575,710,82.86521149,710,84.83560944,710,86.64602661,710,88.05375671,710,89.04605103,710,89.6963501,710,90.07610321,710,90.25564575,710,90.29430389,710,90.23529053,710,90.11035919,710,89.94361877,710,89.86193085,710,89.95605469,710,86.35234833,
709,25.84544945,709,132.7354889,709,75.04888153,709,75.89385223,709,77.11231995,709,78.66001129,709,80.43193054,709,82.40453339,709,84.42367554,709,86.32054901,709,87.79751587,709,88.84516144,709,89.53747559,709,89.9582901,709,90.15396881,709,90.20920563,709,90.17098999,709,90.0327301,709,89.88422394,709,89.82144928,709,89.93027496,709,86.29595947,
708,25.6608429,708,132.9233398,708,74.46340179,708,75.30680847,708,76.55024719,708,78.12542725,708,79.93737793,708,81.95587921,708,84.02814484,708,85.99997711,708,87.53049469,708,88.6708374,708,89.40896606,708,89.85581207,708,90.05915833,708,90.13314056,708,90.09989166,708,89.99994659,708,89.84783173,708,89.77020264,708,89.89583588,708,86.27529907,
707,25.4916153,707,133.1289825,707,73.88137817,707,74.70375824,707,75.96579742,707,77.57920837,707,79.42169189,707,81.46242523,707,83.59539795,707,85.6371994,707,87.28101349,707,88.46577454,707,89.24447632,707,89.73033142,707,89.96922302,707,90.04925537,707,90.03185272,707,89.93295288,707,89.7877655,707,89.73163605,707,89.834198,707,86.2507782,
706,25.31495476,706,133.3549805,706,73.31012726,706,74.11332703,706,75.38036346,706,77.01839447,706,78.88993073,706,80.95943451,706,83.12425995,706,85.24507904,706,86.97795105,706,88.21495819,706,89.08153534,706,89.59992218,706,89.85810089,706,89.94771576,706,89.94685364,706,89.85370636,706,89.72442627,706,89.65684509,706,89.78635406,706,86.18989563,
705,25.13432503,705,133.5355377,705,72.80215454,705,73.56549835,705,74.80752563,705,76.47769165,705,78.37975311,705,80.48342133,705,82.70849609,705,84.87493134,705,86.71169281,705,88.02864838,705,88.93224335,705,89.47641754,705,89.76134491,705,89.89274597,705,89.88222504,705,89.80758667,705,89.67276001,705,89.63933563,705,89.76122284,705,86.17438507,
704,24.945467,704,133.7282257,704,72.35797882,704,73.03790283,704,74.22840881,704,75.90613556,704,77.8478241,704,79.99356079,704,82.2596817,704,84.47695923,704,86.41007233,704,87.80850983,704,88.75849152,704,89.359375,704,89.66894531,704,89.81336975,704,89.82823181,704,89.73921204,704,89.64057922,704,89.60488892,704,89.72653198,704,86.14591217,
703,24.76769447,703,133.9608612,703,71.95779419,703,72.52689362,703,73.65559387,703,75.32470703,703,77.29421997,703,79.46882629,703,81.77346802,703,84.06593323,703,86.06971741,703,87.55643463,703,88.55880737,703,89.19269562,703,89.548172,703,89.71060181,703,89.73456573,703,89.66695404,703,89.57139587,703,89.52365112,703,89.66768646,703,86.06991577,
702,24.58928299,702,134.1735077,702,71.67871857,702,72.08561707,702,73.1032486,702,74.7381134,702,76.74049377,702,78.93922424,702,81.28131866,702,83.62371826,702,85.73332214,702,87.3028717,702,88.36780548,702,89.05337524,702,89.42230225,702,89.60706329,702,89.66453552,702,89.59957123,702,89.51940155,702,89.49095917,702,89.62683105,702,86.02967834,
701,24.39398003,701,134.3987274,701,71.46755981,701,71.73171997,701,72.59008026,701,74.17041016,701,76.17536163,701,78.41346741,701,80.78837585,701,83.19289398,701,85.36865234,701,87.02658081,701,88.17027283,701,88.87834167,701,89.30171967,701,89.5005188,701,89.56839752,701,89.52820587,701,89.43848419,701,89.43186951,701,89.56240845,701,85.97006226,
700,24.21329689,700,134.5875092,700,71.39485168,700,71.49700928,700,72.13145447,700,73.60074615,700,75.61643982,700,77.87359619,700,80.29806519,700,82.75202179,700,85.00939178,700,86.7682724,700,87.97572327,700,88.74572754,700,89.19774628,700,89.41503906,700,89.50558472,700,89.47399139,700,89.39775848,700,89.38660431,700,89.53463745,700,85.95916748,
699,24.0193615,699,134.8245392,699,71.40562439,699,71.31109619,699,71.72676086,699,73.04299164,699,75.03514862,699,77.31972504,699,79.77284241,699,82.27888489,699,84.60137939,699,86.46587372,699,87.74629211,699,88.57917786,699,89.05610657,699,89.30608368,699,89.41152954,699,89.38734436,699,89.33088684,699,89.33518219,699,89.48316193,699,85.90061951,
698,23.82634163,698,135.0485687,698,71.48670197,698,71.25004578,698,71.41750336,698,72.52433014,698,74.46165466,698,76.76442719,698,79.24128723,698,81.79968262,698,84.19746399,698,86.15341187,698,87.51265717,698,88.40003967,698,88.91902924,698,89.20776367,698,89.31143188,698,89.30563354,698,89.25056458,698,89.25779724,698,89.42564392,698,85.83937073,
697,23.62966156,697,135.2733459,697,71.66181183,697,71.28395844,697,71.18959808,697,72.03929901,697,73.88385773,697,76.20031738,697,78.71855927,697,81.30484009,697,83.78384399,697,85.83084106,697,87.27980804,697,88.21742249,697,88.77494049,697,89.08742523,697,89.22071838,697,89.23373413,697,89.18065643,697,89.20368195,697,89.37471771,697,85.78723145,
